,text,spam
279,subject                                                                re                                                                rishnarao                                                                pinnamaneni                                                                review                                                                made                                                                mistake                                                                and                                                                put                                                                comments                                                                for                                                                another                                                                person                                                                into                                                                krishnar                                                                prc                                                                please                                                                make                                                                sure                                                                that                                                                yu                                                                ignore                                                                t                                                                if                                                                can                                                                get                                                                it                                                                fixed                                                                below                                                                is                                                                what                                                                intended                                                                to                                                                put                                                                in                                                                m                                                                aplogies                                                                will                                                                get                                                                my                                                                assistant                                                                o                                                                get                                                                it                                                                deleted                                                                and                                                                put                                                                this                                                                information                                                                in                                                                on                                                                monday                                                                it                                                                won                                                                let                                                                me                                                                do                                                                it                                                                now                                                                guess                                                                it                                                                does                                                                not                                                                pay                                                                to                                                                leave                                                                or                                                                reviews                                                                to                                                                the                                                                last                                                                day                                                                paula                                                                please                                                                fix                                                                this                                                                for                                                                me                                                                and                                                                let                                                                ince                                                                know                                                                either                                                                hat                                                                it                                                                is                                                                fixd                                                                or                                                                cannt                                                                be                                                                fixed                                                                innovation                                                                no                                                                basis                                                                communicating                                                                goal                                                                setting                                                                no                                                                basis                                                                team                                                                work                                                                communication                                                                excellent                                                                very                                                                easy                                                                to                                                                work                                                                with                                                                and                                                                get                                                                along                                                                with                                                                business                                                                instints                                                                excellent                                                                krishnar                                                                s                                                                consistent                                                                in                                                                asking                                                                to                                                                help                                                                ut                                                                and                                                                asking                                                                what                                                                ore                                                                he                                                                could                                                                do                                                                to                                                                elp                                                                us                                                                out                                                                analystical                                                                technical                                                                excellent                                                                krishnar                                                                has                                                                very                                                                strong                                                                grasp                                                                of                                                                what                                                                we                                                                are                                                                doing                                                                n                                                                how                                                                it                                                                should                                                                be                                                                done                                                                overall                                                                excellent                                                                my                                                                interactions                                                                with                                                                krishnar                                                                have                                                                been                                                                lmited                                                                but                                                                positive                                                                krishnar                                                                is                                                                always                                                                positive                                                                with                                                                positive                                                                attitude                                                                to                                                                get                                                                the                                                                jb                                                                done                                                                srengths                                                                very                                                                strong                                                                analytical                                                                skills                                                                with                                                                desire                                                                to                                                                add                                                                value                                                                aras                                                                for                                                                improvements                                                                don                                                                understand                                                                krisnar                                                                role                                                                is                                                                leading                                                                all                                                                research                                                                people                                                                on                                                                our                                                                floor                                                                or                                                                just                                                                soe                                                                well                                                                ad                                                                have                                                                had                                                                limited                                                                interaction                                                                with                                                                him                                                                all                                                                has                                                                been                                                                posiive                                                                when                                                                it                                                                has                                                                ocurred                                                                this                                                                suggests                                                                that                                                                krishnar                                                                might                                                                spend                                                                more                                                                time                                                                define                                                                what                                                                his                                                                people                                                                are                                                                doing                                                                and                                                                getting                                                                feedback                                                                about                                                                their                                                                performance                                                                and                                                                developing                                                                the                                                                project                                                                scope                                                                better                                0,0
280,subjct                                                                same                                                                medicine                                                                different                                                                price                                                                big                                                                savings                                                                o                                                                brand                                                                name                                                                drugs                                                                injustice                                                                anywhere                                                                is                                                                threa                                                                to                                                                justice                                                                everywhere                                                                some                                                                rise                                                                b                                                                sin                                                                and                                                                some                                                                by                                                                virtue                                                                fall                                                                the                                                                judge                                                                is                                                                condemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                all                                                                paths                                                                are                                                                paved                                                                with                                                                daggers                                1,1
281,subject                                                                ame                                                                medicine                                                                dfferent                                                                price                                                                ig                                                                savings                                                                on                                                                brand                                                                name                                                                drugs                                                                injustice                                                                anywhere                                                                is                                                                threat                                                                to                                                                jusice                                                                everywhere                                                                some                                                                rise                                                                by                                                                sin                                                                and                                                                some                                                                by                                                                virtue                                                                fall                                                                the                                                                judge                                                                is                                                                condemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                all                                                                paths                                                                are                                                                paved                                                                with                                                                daggers                                1,1
282,subject                                                                same                                                                medicine                                                                diferent                                                                price                                                                ig                                                                savings                                                                on                                                                brand                                                                name                                                                drugs                                                                injustice                                                                anywhere                                                                is                                                                thrat                                                                to                                                                justice                                                                everywhere                                                                some                                                                rise                                                                by                                                                sin                                                                and                                                                some                                                                by                                                                virtue                                                                fall                                                                the                                                                judge                                                                is                                                                conemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                all                                                                paths                                                                are                                                                paved                                                                with                                                                daggers                                1,1
283,subject                                                                same                                                                medicine                                                                diffeent                                                                price                                                                big                                                                savings                                                                on                                                                brand                                                                name                                                                drugs                                                                injustice                                                                nywhere                                                                is                                                                threat                                                                to                                                                justice                                                                everywhere                                                                some                                                                rise                                                                by                                                                sin                                                                an                                                                ome                                                                by                                                                virtue                                                                fall                                                                the                                                                judge                                                                is                                                                condemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                all                                                                paths                                                                are                                                                paved                                                                with                                                                daggers                                1,1
284,subject                                                                same                                                                medicine                                                                different                                                                price                                                                big                                                                savings                                                                on                                                                bran                                                                name                                                                drugs                                                                injustice                                                                anywhere                                                                is                                                                threat                                                                to                                                                justice                                                                everywhere                                                                some                                                                rise                                                                by                                                                sin                                                                and                                                                some                                                                by                                                                virtue                                                                fall                                                                the                                                                judge                                                                is                                                                condemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                al                                                                paths                                                                are                                                                pved                                                                with                                                                dagers                                1,1
285,subject                                                                same                                                                medicine                                                                different                                                                price                                                                big                                                                savings                                                                on                                                                brand                                                                name                                                                drugs                                                                injustic                                                                anywhere                                                                is                                                                threat                                                                to                                                                justice                                                                everywhere                                                                some                                                                rise                                                                by                                                                sin                                                                and                                                                some                                                                by                                                                vrtue                                                                fall                                                                the                                                                judge                                                                s                                                                condemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                all                                                                paths                                                                are                                                                paved                                                                with                                                                daggrs                                1,1
286,subject                                                                same                                                                medicine                                                                different                                                                price                                                                big                                                                savings                                                                on                                                                brand                                                                name                                                                drugs                                                                injustice                                                                anywhere                                                                is                                                                threat                                                                to                                                                jstice                                                                everywhere                                                                some                                                                rise                                                                by                                                                sin                                                                and                                                                some                                                                by                                                                virtue                                                                fall                                                                the                                                                jdge                                                                is                                                                condemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                all                                                                pth                                                                are                                                                paved                                                                with                                                                daggers                                1,1
287,subject                                                                same                                                                medicine                                                                different                                                                price                                                                big                                                                savings                                                                on                                                                brand                                                                name                                                                drugs                                                                injustice                                                                anywhere                                                                is                                                                threat                                                                to                                                                justice                                                                everyhere                                                                some                                                                rise                                                                by                                                                sin                                                                an                                                                some                                                                by                                                                virtue                                                                fal                                                                the                                                                judge                                                                is                                                                condemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                all                                                                pths                                                                are                                                                paved                                                                with                                                                daggers                                1,1
288,subject                                                                same                                                                medicine                                                                different                                                                price                                                                big                                                                savings                                                                on                                                                brand                                                                name                                                                drugs                                                                injustice                                                                anywhere                                                                is                                                                threat                                                                to                                                                justice                                                                everywhere                                                                some                                                                ris                                                                by                                                                sin                                                                and                                                                some                                                                by                                                                virtue                                                                fall                                                                the                                                                judge                                                                is                                                                condemned                                                                when                                                                the                                                                criminal                                                                is                                                                absolved                                                                n                                                                the                                                                heights                                                                al                                                                paths                                                                re                                                                paved                                                                with                                                                daggers                                1,1
289,subject                                                                same                                                                medicine                                                                different                                                                price                                                                big                                                                savings                                                                on                                                                brand                                                                name                                                                drugs                                                                injustice                                                                anywhere                                                                is                                                                threat                                                                to                                                                justice                                                                everywhere                                                                some                                                                rise                                                                b                                                                sin                                                                and                                                                some                                                                b                                                                virtue                                                                fall                                                                the                                                                judge                                                                is                                                                condemned                                                                whn                                                                the                                                                criminl                                                                is                                                                absolved                                                                on                                                                the                                                                heights                                                                all                                                                paths                                                                are                                                                paved                                                                with                                                                daggers                                1,1
